-3750.1678,14503.7405,010816,230959,A,17.71,137.73,70.9,1.1,08,1           
-3750.1718,14503.7450,010816,231000,A,20.37,137.88,71.1,1.1,08,1           
-3750.1763,14503.7501,010816,231001,A,22.27,137.89,71.3,1.1,08,1           
-3750.1809,14503.7553,010816,231002,A,21.93,137.98,71.6,1.1,08,1           
-3750.1856,14503.7606,010816,231003,A,22.60,138.05,71.9,1.1,08,1           
-3750.1905,14503.7661,010816,231004,A,24.07,137.98,72.3,1.1,08,1           
-3750.1956,14503.7720,010816,231005,A,25.37,137.83,72.6,1.3,07,1           
-3750.2010,14503.7782,010816,231006,A,26.35,137.50,73.0,1.3,07,1           
-3750.2066,14503.7845,010816,231007,A,26.94,137.94,73.4,1.3,07,1           
-3750.2122,14503.7909,010816,231008,A,27.28,138.01,73.7,1.3,07,1           
-3750.2180,14503.7974,010816,231009,A,27.67,138.07,74.1,1.0,08,1           
-3750.2237,14503.8039,010816,231010,A,27.18,138.11,74.6,1.0,08,1           
-3750.2294,14503.8102,010816,231011,A,26.94,138.16,74.9,1.0,08,1           
-3750.2351,14503.8166,010816,231012,A,27.22,138.19,75.3,1.0,08,1           
-3750.2409,14503.8230,010816,231013,A,27.28,138.44,75.6,1.1,08,1           
-3750.2466,14503.8294,010816,231014,A,27.44,138.37,75.8,1.1,08,1           
-3750.2524,14503.8359,010816,231015,A,27.51,138.34,76.0,1.1,08,1           
-3750.2581,14503.8423,010816,231016,A,27.53,138.62,76.2,1.3,07,1           
-3750.2639,14503.8488,010816,231017,A,27.51,138.81,76.5,1.3,07,1           
-3750.2697,14503.8552,010816,231018,A,27.46,138.57,76.6,1.1,08,1           
-3750.2755,14503.8616,010816,231019,A,27.56,138.56,76.8,1.1,08,1           
-3750.2814,14503.8680,010816,231020,A,27.57,138.77,77.0,1.1,08,1           
-3750.2872,14503.8744,010816,231021,A,27.77,139.19,77.1,1.1,08,1           
-3750.2932,14503.8808,010816,231022,A,28.16,139.65,77.1,1.3,07,1           
-3750.2992,14503.8874,010816,231023,A,28.47,139.14,77.1,1.3,07,1           
-3750.3053,14503.8940,010816,231024,A,28.78,139.00,76.8,1.3,07,1           
-3750.3114,14503.9007,010816,231025,A,29.15,139.11,76.5,1.3,07,1           
-3750.3176,14503.9075,010816,231026,A,29.55,138.95,76.0,1.3,07,1           
-3750.3239,14503.9144,010816,231027,A,29.92,138.86,75.5,1.3,07,1           
-3750.3302,14503.9213,010816,231028,A,30.06,138.98,75.1,1.3,07,1           
-3750.3366,14503.9282,010816,231029,A,29.73,139.02,74.4,1.1,08,1           
-3750.3428,14503.9351,010816,231030,A,29.28,138.56,73.8,1.1,08,1           
-3750.3489,14503.9419,010816,231031,A,29.06,138.77,73.1,1.1,08,1           
-3750.3550,14503.9487,010816,231032,A,29.17,138.73,72.4,1.3,07,1           
-3750.3612,14503.9555,010816,231033,A,29.20,138.53,71.7,1.3,07,1           
-3750.3673,14503.9623,010816,231034,A,29.18,138.31,71.1,1.3,07,1           
-3750.3734,14503.9691,010816,231035,A,29.20,138.13,70.3,1.1,08,1           
-3750.3795,14503.9760,010816,231036,A,29.22,137.79,69.7,1.3,07,1           
-3750.3856,14503.9829,010816,231037,A,29.37,138.14,69.0,1.3,07,1           
-3750.3917,14503.9899,010816,231038,A,29.46,138.03,68.3,1.3,07,1           
-3750.3979,14503.9968,010816,231039,A,29.55,137.91,67.6,1.3,07,1           
-3750.4040,14504.0038,010816,231040,A,29.67,137.91,67.0,1.1,08,1           
-3750.4102,14504.0108,010816,231041,A,29.89,137.99,66.4,1.3,07,1           
-3750.4165,14504.0179,010816,231042,A,30.10,138.04,65.7,1.3,07,1           
-3750.4227,14504.0250,010816,231043,A,30.21,138.01,65.0,1.3,07,1           
-3750.4290,14504.0321,010816,231044,A,30.12,137.86,64.3,1.3,07,1           
-3750.4352,14504.0392,010816,231045,A,29.72,137.90,63.7,1.3,07,1           
-3750.4414,14504.0461,010816,231046,A,29.64,138.01,63.0,1.1,08,1           
-3750.4476,14504.0531,010816,231047,A,29.33,138.09,62.3,1.1,08,1           
-3750.4537,14504.0600,010816,231048,A,29.38,138.20,61.5,1.1,08,1           
-3750.4599,14504.0669,010816,231049,A,29.61,138.15,60.8,1.1,08,1           
-3750.4661,14504.0739,010816,231050,A,29.77,137.91,60.1,1.1,08,1           
-3750.4723,14504.0809,010816,231051,A,29.78,137.78,59.5,1.1,08,1           
-3750.4784,14504.0879,010816,231052,A,29.73,137.81,58.9,1.1,08,1           
-3750.4846,14504.0949,010816,231053,A,29.30,137.95,58.4,1.1,08,1           
-3750.4906,14504.1017,010816,231054,A,28.70,137.96,57.9,1.1,08,1           
